XXX , 11 , XXX , 4 , XXX , 5  Aparece apenas em USPSC-modelo.tex e USPSC-TCC-modelo.tex 
UNESP , 4 , UNESP , 4 , UNESP , 6 -> aparece apenas em bib e bash
' USP ' , 76 , ' USP ' , 69 , ' USP ' , 71 -> ocorrencias nao sao relevantes para o RedarTex -> OK!
Universidade , 253 , Universidade , 49 , Universidade , 348
UNIVERSIDADE , 21 , UNIVERSIDADE , 10 , UNIVERSIDADE , 112
Universidade Estadual , 8 , Universidade Estadual , 8 , Universidade Estadual , 109 Verificado
UNIVERSIDADE ESTADUAL , 0 , UNIVERSIDADE ESTADUAL , 0 , UNIVERSIDADE ESTADUAL , 1
Faculdade , 2 , Faculdade , 0 , Faculdade , 201
FACULDADE , 0 , FACULDADE , 0 , FACULDADE , 201
Instituto , 258 , Instituto , 19 , Instituto , 211 Verificado -> nao sobraram em arquivos importantes
INSTITUTO , 8 , INSTITUTO , 0 , INSTITUTO , 201
Escola , 97 , Escola , 35 , Escola , 233 - Verificado -> nao sobraram em arquivos importantes 
ESCOLA , 3 , ESCOLA , 0 , ESCOLA , 101
Programa , 441 , Programa , 309 , Programa , 506
PROGRAMA , 20 , PROGRAMA , 20 , PROGRAMA , 221
Curso , 71 , Curso , 48 , Curso , 249
CURSO , 6 , CURSO , 6 , CURSO , 207
P...s-Gradua , 142 , P...s-Gradua , 221 , P...s-Gradua , 222
Gradua , 510 , Gradua , 378 , Gradua , 577
P...S-GRADUA , 1 , P...S-GRADUA , 1 , P...S-GRADUA , 2
GRADUA , 2 , GRADUA , 2 , GRADUA , 204
Nome da Unidade USP , 4 , Nome da Unidade USP , 0 , Nome da Unidade USP , 102
Unidade USP , 9 , Unidade USP , 0 , Unidade USP , 203
[Tt]...tulo , 125 , [Tt]...tulo , 127 , [Tt]...tulo , 133
Modelo para teses e disserta , 35 , Modelo para teses e disserta , 19 , Modelo para teses e disserta , 51
Modelo para TCC em , 24 , Modelo para TCC em , 14 , Modelo para TCC em , 25
Modelo para TC em , 0 , Modelo para TC em , 0 , Modelo para TC em , 2
Model for thesis , 10 , Model for thesis , 0 , Model for thesis , 12
Modelo para elabora , 2 , Modelo para elabora , 0 , Modelo para elabora , 3
Elisa , 144 , Elisa , 72 , Elisa , 149
Silva , 91 , Silva , 61 , Silva , 119
